12:18:19.629 [main] INFO  c.p.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 22449 (/home/v-shivam.bhardawaj/Desktop/Springboot/journalApp/target/classes started by root in /home/v-shivam.bhardawaj/Desktop/Springboot/journalApp)
12:18:19.639 [main] INFO  c.p.journalApp.JournalApplication - The following 1 profile is active: "dev"
12:18:20.311 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
12:18:20.356 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39 ms. Found 2 MongoDB repository interfaces.
12:18:20.680 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
12:18:20.687 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
12:18:20.689 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
12:18:20.689 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
12:18:20.728 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
12:18:20.728 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1028 ms
12:18:20.872 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-srv-cluster1.g3xg4p1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017 to client view of cluster
